candidate,caseCount,meanGeneralizedPreparationSeconds,meanGeneralizedSolveSeconds,meanGeneralizedReconstructionSeconds,meanGeneralizedTotalSeconds,meanCandidatePreparationSeconds,meanCandidateSolveSeconds,meanCandidateReconstructionSeconds,meanCandidateTotalSeconds,meanCandidateTotalOverGeneralizedTotal,maximumCandidateTotalOverGeneralizedTotal,maximumPencilResidual,maximumRelativeHError,maximumRelativeGError,maximumRelativeFError,labelMismatches
gridMetric,36,0.000146233796296296,0.00461555787037037,1.97893518518518e-05,0.00478158101851852,0.00501515046296296,0.00193785763888889,0.00185749074074074,0.00881049884259259,3.23344933225744,26.6888160413476,6.28163850012077e-13,1.95123815317998e-06,2.26731664330788e-09,1.95121224342541e-06,0
inverseA,36,0.000158144675925926,0.00470786458333333,2.52696759259259e-05,0.00489127893518519,0.00334377662037037,0.00245047800925926,3.05243055555556e-05,0.00582477893518519,1.93498313814565,7.90311217211564,1.33359274583944e-08,0.000212023035479358,0.015111935859947,1.03907952810291e-05,0
reducedMetric,36,0.000153256944444444,0.0046321087962963,1.99710648148148e-05,0.00480533680555556,0.00315771296296296,0.00202157523148148,4.35023148148148e-05,0.00522279050925926,1.85060145443139,9.27081225825647,1.04581514323193e-10,3.15651212341364e-06,2.26363993349197e-09,3.15633094797885e-06,0
