nEVP,requestedModes,caseCount,meanPartialOverFull,maximumPartialOverFull,maximumRelativeEigenvalueError,maximumPencilResidual,nonzeroFlags
104,38,12,1.43408888029639,1.94307173808377,7.44208586086202e-11,3.89270116116722e-14,0
104,64,12,1.07194064771152,1.18660799470395,1.39209571931457e-10,8.67621966220998e-13,0
156,38,12,0.554971168620492,0.572819938277121,1.58951906828604e-10,3.59215385701107e-14,0
156,64,12,0.806058052691169,0.857358905616278,3.21269966427526e-10,7.79706815132852e-14,0
