nEVP,requestedModes,caseCount,meanFullPreparationMedianSeconds,meanFullSolveMedianSeconds,meanFullReconstructionMedianSeconds,meanFullTotalMedianSeconds,meanPartialPreparationMedianSeconds,meanPartialReductionMedianSeconds,meanPartialSolveMedianSeconds,meanPartialReconstructionMedianSeconds,meanPartialTotalMedianSeconds,meanPartialTotalOverFullTotal,maximumPartialTotalOverFullTotal,maximumRelativeEigenvalueError,maximumPencilResidual,nonzeroFlags
104,38,12,6.73541666666667e-05,0.00327561458333333,1.47222222222222e-05,0.00335858680555556,6.69409722222222e-05,0.000173357638888889,0.00347286458333333,5.01388888888889e-06,0.00373472222222222,1.10980589267182,1.47521657806655,7.44208586086202e-11,3.89270116116722e-14,0
104,64,12,5.80173611111111e-05,0.00326953125,1.37118055555556e-05,0.00335054166666667,5.94270833333333e-05,0.00017921875,0.00365307986111111,6.10763888888889e-06,0.00391047222222222,1.16617890390809,1.3470338434754,1.39209571931457e-10,8.67621966220998e-13,0
156,38,12,0.000146972222222222,0.00939905208333333,2.49930555555556e-05,0.00958930555555556,0.000143961805555556,0.000227361111111111,0.00376894444444444,7.49652777777778e-06,0.00416760416666667,0.434449801854646,0.468746489704574,1.58951906828604e-10,3.59215385701107e-14,0
156,64,12,0.000140125,0.00939749652777778,2.51388888888889e-05,0.00955516666666667,0.000148597222222222,0.00022734375,0.00546302083333333,1.06944444444444e-05,0.0058808125,0.615487687542536,0.67198460054387,3.21269966427526e-10,7.79706815132852e-14,0
