candidate,caseCount,meanCandidateOverGeneralized,maximumCandidateOverGeneralized,maximumPencilResidual,maximumRelativeHError,maximumRelativeGError,maximumRelativeFError,labelMismatches
gridMetric,36,2.70418842142432,22.0676461969944,6.28163850012077e-13,1.95123815317998e-06,2.26731664330788e-09,1.95121224342541e-06,0
inverseA,36,1.8894781555885,9.61595966007264,1.33359274583944e-08,0.000212023035479358,0.015111935859947,1.03907952810291e-05,0
reducedMetric,36,2.25925240556247,10.6542770340834,1.04581514323193e-10,3.15651212341364e-06,2.26363993349197e-09,3.15633094797885e-06,0
