caseId,profile,surface,sourceKappa,requestedKappa,relativeOffset,band,referenceOrder,referenceQualifiedExperimental,referenceEigenChange,referenceSubspaceChange,referenceEquationError,referenceBoundaryError,cutoffRelativeGap,minimumInternalRelativeGap,minimumParticipationFraction,maximumUpperQuarterFraction,baselineEigenError,baselineFrequencyError,baselineSubspaceError,warmFlag,coldFlag,warmOperatorApplications,coldOperatorApplications,warmToFullEigenError,warmToFullSubspaceError,warmToReferenceEigenError,warmToReferenceSubspaceError,warmToReferenceIndividualH1Error,approximateEigenError,approximateFrequencyError,approximateSubspaceError,approximateIndividualH1Error,approximateFError,approximateEquationError,approximateBoundaryError,warmMatchesFull,fallbackRequired,fullSolveSeconds,warmRawSeconds,coldRawSeconds,warmFactorizationSeconds,warmEigensolveSeconds,warmFinalizationSeconds,requestedAssemblySeconds,requestedSelectionSeconds,warmValidationSeconds,referenceSolveSeconds,referenceValidationSeconds,baselineValidationSeconds,neighborAcquisitionSeconds,warmWithValidationAndFallbackSeconds,warmWithAllReferenceSeconds,analyticAvailable,analyticEigenError,analyticSubspaceError,productionQualification
6,constant,rigid,0.001,0.001001,0.001,8,144,1,1.11105992356001e-11,6.58402409289219e-12,8.96901605888095e-10,1.06579907532766e-14,0.20961381705739,0.121045745939177,0.668509202276451,0.378892346763807,1.09509772020415e-11,5.46949697645883e-12,8.62983366461877e-12,0,0,49,49,1.97518956147502e-12,5.56962888073988e-13,1.29261667635381e-11,8.70995094577923e-12,1.33769305834675e-11,0.000184057451303819,9.19416703998102e-05,8.7864390572016e-12,1.50667195988672e-11,0.000184091334620836,9.20372021813595e-05,3.45293724471588e-16,1,0,0.0235755347222222,0.00770108333333333,0.00546458333333333,0.00052175,0.00177866666666667,0.00534125,0.00123204166666667,0.00163629166666667,0.0217204583333333,0.0303413055555556,0.130350041666667,0.0152766666666667,0.0257606180555556,0.032289875,0.231833423611111,1,1.29563525228999e-11,8.66778332277285e-12,0
6,constant,rigid,0.001,0.001001,0.001,16,144,1,1.11105992356001e-11,3.85517110204538e-12,8.96901605888095e-10,1.06579907532766e-14,0.114146752157152,0.121045745939177,0.667455860230753,0.378892346763807,1.09509772020415e-11,5.46949697645883e-12,3.97121509963661e-12,0,0,49,49,1.97518956147502e-12,3.91725011513151e-13,1.29261667635381e-11,3.8621247509915e-12,6.56096900108336e-10,0.000184057451303819,9.19416703998102e-05,3.80041380162423e-12,6.56096941912799e-10,0.000184091334620836,9.20372021813595e-05,3.45293724471588e-16,1,0,0.0235755347222222,0.00770108333333333,0.00546458333333333,0.00052175,0.00177866666666667,0.00534125,0.00123204166666667,0.00163629166666667,0.0217204583333333,0.0303413055555556,0.130350041666667,0.0152766666666667,0.0257606180555556,0.032289875,0.231833423611111,1,1.29563525228999e-11,3.85296899435984e-12,0
7,constant,rigid,0.001,0.00101,0.01,8,144,1,6.50242898092333e-12,2.11751834863621e-11,9.17508977448805e-10,1.18860078586009e-14,0.209609077526559,0.121044879198512,0.668509202276436,0.378892346768209,2.76039925469766e-11,1.3787133421711e-11,2.11429336288715e-11,0,0,49,49,6.16678085873631e-12,6.75164770345838e-13,3.37707734055427e-11,2.11224655247141e-11,5.50165581945251e-11,0.00184578017446188,0.000923184489326038,2.1149451771589e-11,5.50448438759847e-11,0.00184919337889628,0.000923742583235017,3.45293724471588e-16,1,0,0.0226230763888889,0.00658475,0.0264710416666667,0.000526291666666667,0.002275,0.00372525,0.00122345833333333,0.00167683333333333,0.0230139583333333,0.0299895972222222,0.130161041666667,0.0150655,0.0257606180555556,0.032499,0.230338215277778,1,3.37404299850934e-11,2.11233326288057e-11,0
7,constant,rigid,0.001,0.00101,0.01,16,144,1,6.50242898092333e-12,2.03604775792184e-11,9.17508977448805e-10,1.18860078586009e-14,0.114146028112265,0.121044879198512,0.667455860230712,0.378892346768209,2.76039925469766e-11,1.3787133421711e-11,2.03474142784045e-11,0,0,49,49,6.16678085873631e-12,3.26227330701837e-13,3.37707734055427e-11,2.03370798309185e-11,6.56094844711097e-10,0.00184578017446188,0.000923184489326038,2.0337043952053e-11,6.56094823719577e-10,0.00184919337889628,0.000923742583235017,3.45293724471588e-16,1,0,0.0226230763888889,0.00658475,0.0264710416666667,0.000526291666666667,0.002275,0.00372525,0.00122345833333333,0.00167683333333333,0.0230139583333333,0.0299895972222222,0.130161041666667,0.0150655,0.0257606180555556,0.032499,0.230338215277778,1,3.37404299850934e-11,2.03362377689161e-11,0
8,constant,rigid,0.001,0.0011,0.1,8,144,1,7.34454843833522e-12,5.3107720275661e-12,8.08997628704541e-10,9.33035589364551e-15,0.209559361837165,0.121035785852445,0.668509202276637,0.378892346765091,5.04735643198772e-11,2.52136881684951e-11,5.43133248526704e-12,0,0,49,49,2.28544890793349e-11,7.61193717401214e-13,2.76190752393887e-11,5.20751381834567e-12,5.56978480384513e-11,0.0189537452981034,0.00960499903596669,5.25115940024389e-12,5.57171660059995e-11,0.019319930336834,0.00956754304977726,3.45293724471588e-16,1,0,0.0226072847222222,0.01970625,0.0177305416666667,0.000514458333333333,0.00171633333333333,0.0174095416666667,0.00121875,0.00149675,0.0233470833333333,0.0293341805555556,0.132659041666667,0.015460875,0.0257606180555556,0.0457688333333333,0.245830215277778,1,2.76497156640834e-11,5.19500755733868e-12,0
8,constant,rigid,0.001,0.0011,0.1,16,144,1,7.34454843833522e-12,3.73567221252321e-12,8.08997628704541e-10,9.33035589364551e-15,0.114138431779842,0.121035785852445,0.667455860230689,0.378892346765091,5.04735643198772e-11,2.52136881684951e-11,3.61329173019017e-12,0,0,49,49,2.28544890793349e-11,4.73620658233466e-13,2.76190752393887e-11,3.50396729978267e-12,6.56135902438037e-10,0.0189537452981034,0.00960499903596669,3.54896341235006e-12,6.56135923001126e-10,0.019319930336834,0.00956754304977726,3.45293724471588e-16,1,0,0.0226072847222222,0.01970625,0.0177305416666667,0.000514458333333333,0.00171633333333333,0.0174095416666667,0.00121875,0.00149675,0.0233470833333333,0.0293341805555556,0.132659041666667,0.015460875,0.0257606180555556,0.0457688333333333,0.245830215277778,1,2.76497156640834e-11,3.49695645732896e-12,0
9,constant,rigid,0.01,0.01,0,8,144,1,1.94428375533665e-11,5.76608198327345e-12,9.63187407499034e-11,1.04771683817045e-14,0.186542355265335,0.116483497709796,0.66850920227665,0.378892346952363,1.6142187516019e-11,8.07018605682062e-12,5.59848334448701e-12,0,0,49,49,8.61540685782197e-13,6.33031512788405e-13,1.70037282017872e-11,5.43181397106857e-12,5.89852068163865e-10,1.6142187516019e-11,8.07018605682062e-12,5.59848334448701e-12,5.90923260561015e-10,6.16886708674427e-10,1.50201647124098e-12,3.45344084675485e-16,1,0,0.0290210763888889,0.0103905833333333,0.0154345,0.0005325,0.00171741666666667,0.00808116666666667,0.00136658333333333,0.00159279166666667,0.0205127916666667,0.0357793055555556,0.12831825,0.0138654583333333,0.0290210763888889,0.03386275,0.240846840277778,1,1.70017506794617e-11,5.43173421979825e-12,0
9,constant,rigid,0.01,0.01,0,16,144,1,1.94428375533665e-11,4.5139856722378e-12,9.63187407499034e-11,1.04771683817045e-14,0.110319146537905,0.116483497709796,0.667455860230692,0.378892346952363,1.6142187516019e-11,8.07018605682062e-12,3.58442544566819e-12,0,0,49,49,8.61540685782197e-13,3.59620675832213e-13,1.70037282017872e-11,3.59126726371695e-12,6.56097011139507e-10,1.6142187516019e-11,8.07018605682062e-12,3.58442544566819e-12,6.56097106145891e-10,6.55932828727484e-10,1.50201647124098e-12,3.45344084675485e-16,1,0,0.0290210763888889,0.0103905833333333,0.0154345,0.0005325,0.00171741666666667,0.00808116666666667,0.00136658333333333,0.00159279166666667,0.0205127916666667,0.0357793055555556,0.12831825,0.0138654583333333,0.0290210763888889,0.03386275,0.240846840277778,1,1.70017506794617e-11,3.58254740371253e-12,0
10,constant,rigid,0.01,0.01001,0.001,8,144,1,3.61069927696014e-12,4.36514173072146e-12,1.02345765059442e-10,9.38930443285227e-15,0.186500863995884,0.116474624487249,0.668509202276488,0.378892346771832,4.31080291346568e-12,2.15522195263145e-12,4.43640559629038e-12,0,0,49,49,5.37237294947576e-13,4.16299584948669e-13,4.37457832341953e-12,4.43091733202781e-12,3.4288023783035e-11,0.00181793892057633,0.000910110738928611,4.45299040632349e-12,3.41323190179359e-11,0.00182124984148945,0.000909796438821749,3.45344084675485e-16,1,0,0.0277663263888889,0.0160370416666667,0.0149620833333333,0.000609125,0.00199233333333333,0.0133697083333333,0.001825125,0.00188491666666667,0.0202796666666667,0.0295996805555556,0.126301583333333,0.0153109166666667,0.0290210763888889,0.04002675,0.239005256944444,1,4.36161584174061e-12,4.43465862361018e-12,0
10,constant,rigid,0.01,0.01001,0.001,16,144,1,3.61069927696014e-12,3.70053785243987e-12,1.02345765059442e-10,9.38930443285227e-15,0.110311669910176,0.116474624487249,0.667455860230697,0.378892346771832,4.31080291346568e-12,2.15522195263145e-12,3.77913375707944e-12,0,0,49,49,5.37237294947576e-13,3.00089608593986e-13,4.37457832341953e-12,3.73964798513295e-12,6.56096671430846e-10,0.00181793892057633,0.000910110738928611,3.75364966521756e-12,6.56097039275864e-10,0.00182124984148945,0.000909796438821749,3.45344084675485e-16,1,0,0.0277663263888889,0.0160370416666667,0.0149620833333333,0.000609125,0.00199233333333333,0.0133697083333333,0.001825125,0.00188491666666667,0.0202796666666667,0.0295996805555556,0.126301583333333,0.0153109166666667,0.0290210763888889,0.04002675,0.239005256944444,1,4.36161584174061e-12,3.74738434365368e-12,0
