profile,surface,caseCount,referenceQualifiedExperimentalCount,fallbackCount,minCutoffRelativeGap,minInternalRelativeGap,minParticipationFraction,maxUpperQuarterFraction
constant,rigid,12,12,0,0.109539982016676,0.115559590720064,0.667455860230437,0.378892346952363
constant,free,12,8,4,0.115558787617036,0.122227902588188,0.0927362811887208,0.995814823428876
exponential,rigid,12,12,8,0.109132050995201,0.115070978754083,0.200750778603299,0.766670629669115
exponential,free,12,0,12,0.115070461875257,0.121636181245375,0.092734043758669,0.995817147395756
pycnocline,rigid,12,0,12,0.108680500572374,0.114466918938752,0.129672428709431,0.488965592721804
pycnocline,free,12,0,12,0.114466811892371,0.121984451723451,0.0926977114148353,0.995824390625041
doubleSharp,rigid,12,0,12,0.101512126766827,0.0478226506450718,0.319878340872536,0.397638212794998
doubleSharp,free,12,0,12,0.101549114436951,0.0478223223577836,0.0926981609960491,0.995824447850951
